id;start_date;end_date;percentage;canlendar_crop_status;reason;created_at;added_by
1;2025-05-03;2025-05-04;5811.43;10114;acquaintance oh;2025-05-03;now
2;2025-05-03;2025-05-03;11221.91;26824;guzzle;2025-05-03;deflect slime
3;2025-05-03;2025-05-03;2909.43;5566;per;2025-05-03;eulogise vaguely um
4;2025-05-03;2025-05-03;12443.17;6732;publicity and when;2025-05-03;hierarchy stiff
5;2025-05-03;2025-05-03;22178.09;17983;before psst phew;2025-05-03;corral about once
6;2025-05-04;2025-05-03;32275.79;5966;dead stale;2025-05-03;above
7;2025-05-03;2025-05-04;18437.92;14200;zowie pro afore;2025-05-03;gladly inasmuch
8;2025-05-03;2025-05-03;24012.67;16623;down;2025-05-03;annually
9;2025-05-03;2025-05-03;17968.55;8438;furthermore supposing so;2025-05-04;mostly astride absent
10;2025-05-03;2025-05-03;18536.26;6815;while phooey with;2025-05-03;insolence spark aside
