id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;assured yet cellar;synthesise;18031;amongst colossal;obsess aw even;handsome coal extract;2350;10787;6167.43;8461.74;27500.55;5586.19;8506.18
2;athwart lazily;SUV mmm boohoo;31626;council;obediently pro how;blah that entomb;23735;4938;14940.51;32568.56;13127.94;704.21;12460.08
3;bah gee;until;17079;than seriously;where quicker hydrolyse;before;5080;3938;29196.29;30535.59;14751.14;31333.41;23894.5
4;irritably;defensive;16252;once arraign mediocre;boo sympathetically incidentally;above since;27112;6284;587.95;23312.14;2239.1;25167.96;22451.91
5;carefree;huzzah;31481;amidst;worth till between;even woot until;13517;1913;30638.35;4502.2;10539.52;1394.1;4227.82
6;sew;notwithstanding teriyaki over;12173;onto openly;honored promptly despite;incidentally;4817;19733;7752.08;18349.17;20345.27;27945.31;1788.28
7;gah so nor;vice brr;24077;needily oddly zebra;unrealistic whoever;defiantly courageous;16487;16388;17367.59;21029.65;16307.85;30542.9;22455.43
8;beneath;unlike;16806;sentimental mill if;cricket;bandwidth unless though;20883;17664;30601.13;3064.74;14543.29;28031.06;13999.4
9;boo;but until lamp;2692;anti bug;outrank international astride;sand;13144;4191;3038.05;17946.7;11178.37;9937.14;28779.02
10;from pomelo reboot;what sturdy phooey;9158;seriously;a amongst technologist;potentially begonia ha;17911;7386;3218.13;28219.44;29219.65;25089.43;8232.26
