id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;amongst scarily;plugin opposite;7859;decide cash aw;since;pfft with submissive;1554;19423;23244.53;17456.75;31686.34;11425.77;2106.9
2;during house embed;forage whose delightfully;30704;until order disloyal;correctly;ha;9493;22464;2574.01;12770.59;15612.23;8639.26;28881.59
3;ick astride naturally;lest;12945;whoever so;compromise rekindle with;whereas;16983;19746;24879.65;12920.97;28139.18;20336.01;4376.14
4;equally ha secularize;ravel;16935;that yearningly;innocent;finally lest;26011;17655;19270.67;6805.09;14290.89;14882.69;18252.51
5;kindly incidentally;skeletal boo wonderfully;29824;curry;sense provided fooey;vaguely;32101;7391;5621.51;32284.53;29584.84;8505.43;23570.35
6;mid;always;14551;yum above;attest after thoughtfully;of;10729;31648;22920.46;21209.94;21658.2;14582.19;4377.48
7;although kiddingly;thoroughly newsletter hence;20167;till explode;conservative petticoat present;heighten;16239;15262;30316.78;14891.29;20293.53;19731.41;16900.28
8;lawful self-reliant ethical;pendant;28601;excluding;abaft;openly;15983;6208;9802.94;14081.91;12560.55;9205.19;4998.77
9;unlike across;potable uniform poorly;24764;since;bitterly graft;yak generally;20487;13861;3459.32;27023.75;2387.07;14972.82;26804.1
10;what joyously;section;21481;or remand beyond;rewrite trolley next;sham reorganisation;7656;3732;32284.92;1837.99;815.32;26303.77;15453.53
