id;damage_name;damage_code;damage_family;damage_genus;damage_species;created_at;added_by
1;rationalize;unfortunately sore scary;selfishly menacing;partially gah;bicycle accentuate beyond;2025-05-03;easy packaging lawmaker
2;lamp competent valiantly;blah immediately upon;onto adjudge abaft;rapid well flawless;where unibody;2025-05-04;straw yippee
3;robust baptise;consequently wrongly;than huzzah speedy;till upbeat gadzooks;unnecessarily;2025-05-04;before
4;while;rightfully ethical;truthfully;despite;freely beep;2025-05-03;above ack
5;boohoo redesign;meh taxicab generously;gift bustling huzzah;the;slight;2025-05-04;pine handy flat
6;singe;harangue obvious;soon entire;dependency darling;now creature sniff;2025-05-04;dirty now
7;past excess;opposite of;throughout impossible faithfully;delectable since violently;nor frantically;2025-05-03;discourse provided sneak
8;lest;eek;inferior times;quirkily cultivated;determined;2025-05-04;serene
9;chapel insist within;nor;bruised reproach;grown eek;shimmering limply ouch;2025-05-03;sympathetically boo yesterday
10;lobotomise instructive minion;yet;mobilize qualified humiliating;physically;carefully;2025-05-03;pfft bidet joshingly
