id;duration;name;stages;added_by;added_date
1;32696;submissive incidentally;stealthily;21742;2025-05-04
2;4883;zowie that yet;responsibility obligation;19335;2025-05-05
3;4122;role ack midst;anti slip monster;22872;2025-05-05
4;30752;pfft the;boastfully step neaten;12907;2025-05-04
5;23589;redact suspiciously;without ouch;2614;2025-05-04
6;22916;supposing;mid briskly;11509;2025-05-05
7;21430;before;but;21854;2025-05-05
8;16516;dereference diagram;drat arid;13718;2025-05-04
9;19037;spring yearningly toaster;bleak amid;27769;2025-05-04
10;23790;appreciate;hm angrily negotiation;19862;2025-05-04
