id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;inasmuch yawningly crackle;arrogantly even yahoo;9687;softly aha;but;yak inasmuch without;22404;10405;11196.99;682.96;18190.95;5798.21;32452.36
2;which;morbidity utterly;9351;vastly;among spectacles woot;crossly descendant oh;23839;26562;883.48;29384.43;21065.83;20744.59;20103.08
3;until;apropos heartfelt psst;29178;into;yawningly;phooey unlike;18001;21685;14329.29;14658.34;21901.18;28932.64;28885.4
4;optimistically failing;taut;24704;during;usher abaft;hmph readmit;20331;2986;2104.16;25458.63;19313.59;13538.95;23582.21
5;navigate punctually;uh-huh queasily league;8465;if wetly;ravage buck gah;paralyse towards misreport;23793;15961;5335.5;18873.3;5434.77;3010.16;25794.87
6;frankly accidentally cooperative;jet;28008;mockingly ouch thrifty;striking perfectly;freely doubtfully sway;21667;14338;30156.11;9882.24;2278.54;28629.01;19175.47
7;awareness worth;late slake;2438;conservative considering digital;joyfully;actually;10318;2336;25175.84;9491.87;20254.27;23921.28;29783.17
8;until emboss once;however concerning;12750;authentic minty;expense emerge ha;even strong for;27585;18208;21292.36;22757.03;7087.68;29867.01;25008.32
9;chase;vulgarise indeed;6563;fuel;eek legend;cook;19396;5880;13074.88;10432.57;6983.53;2174.88;8325.71
10;chairperson dereference;beautifully declaration aw;29790;ascribe delicious nicely;inquisitively;beyond;20474;9432;2962.71;8502.13;14801.06;32253.69;2184.73
