id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;factorise concentration;aha who;26300;amendment diligently supposing;shrilly miscalculate political;woot ramp;27326;32537;10780.78;20649.25;26866.16;16212.53;26388.5
2;starboard;about;19089;dusk;next anti opposite;unless zowie carelessly;9684;26497;28962.52;28875.79;21547.72;8831.21;27321.1
3;sanity tackle;well-documented aha around;16851;where helpfully;juggernaut search;where whether cow;21409;26263;752.78;23869.13;18004.48;12925.53;3494.53
4;amid;even that;5482;because via;chunder;eek;12583;14647;3755.35;21010.48;26753.16;26629.14;3158.04
5;careless;not diligent;22929;hunger;cleverly even instead;fooey;12482;13071;25426.05;15250.13;25288.63;14792.95;21246.48
6;ew;daily absentmindedly;17867;lest ingratiate;sleepily giant;busily now forage;20688;27995;4354.78;16757.43;4897.98;18287.92;7561.96
7;arid;likewise even;23206;mathematics questionably scowl;woot;presume knowledgeable huzzah;18698;23772;28350.82;26797.6;3805.36;2493.68;31590.29
8;microblog;thunderbolt shore;9445;extract couch;pfft pish;esteemed who;11460;9709;17672.31;13250.1;5529.19;28518.61;18840.55
9;off monthly guilty;provided faithfully;8353;supposing colligate huzzah;miserably mockingly ack;now awkwardly;14445;26542;23446.08;18401.44;6988.19;18655.19;17990.24
10;oh;yet ick through;10530;indeed under;yuck gee worthless;out;5727;19195;24121.5;4811.54;23778.45;30953.29;8460.97
