id;name;no_of_stages;image;description;added_by;created_at
1;fictionalize tattered;21289;but option clean;bah;19828;2025-05-05
2;down dividend boohoo;12736;mixture afore;lively;10077;2025-05-05
3;likely aw;18862;restfully palate;forenenst sans moor;13816;2025-05-04
4;almost;22713;dish;cool who;26260;2025-05-05
5;questionably because storyboard;13557;grave productive unlike;league juvenile;12052;2025-05-05
6;boss;21049;meanwhile rust about;drat meanwhile aw;5148;2025-05-05
7;authentic pfft anenst;4154;ack;huzzah bah;21284;2025-05-05
8;in ugh when;5869;diligent fooey wonderfully;musty uh-huh tribe;25936;2025-05-04
9;decisive long-term;16360;nor surge;imaginary brr;16269;2025-05-04
10;reclassify across;12973;once ack jury;cleaner gadzooks;17518;2025-05-04
