id;duration;name;stages;added_by;added_date
1;17726;needily efface terrible;speedy till artistic;25787;2025-05-04
2;16111;decode blissfully;cutlet especially;4588;2025-05-05
3;23683;cautious;igloo now worth;14695;2025-05-05
4;10200;aw rear;very although though;2318;2025-05-05
5;3906;alongside valiantly shimmering;monstrous cloudy;19847;2025-05-05
6;11525;what since;bleakly;11705;2025-05-05
7;23929;role;however mythology;30292;2025-05-05
8;24182;soupy whether abaft;likewise needy;13307;2025-05-04
9;8448;quicker provided ick;yippee;29276;2025-05-04
10;6467;commonly;respray;10246;2025-05-04
