id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;throughout symbolise;abaft;11886;painfully daintily;tepid;arid short yowza;21275;1113;24252.72;10114.63;30251.13;5661.9;32675.66
2;whoa;dark oof;12321;slowly ouch;even;fooey ah stratify;29016;19891;11836.64;30813.8;5372.46;23257.65;12845.6
3;round ah;amidst cruelty exhausted;1938;second-hand eyebrow;drat astride;shinny opposite incidentally;26929;9958;17310.82;10509.39;21379.23;22665.58;2385.78
4;partially amend qua;wherever;15034;phew;yum;inasmuch for uh-huh;18100;8277;12575.53;10456.02;19646.5;26984.62;18893.15
5;clonk;deplore intensely;11958;sticker;after character;wherever;13916;3176;890.58;23764.95;4366.21;28620.9;9742.83
6;gah;shoulder;14218;among story;hmph darn;jubilantly on till;21418;219;2939.35;14851.17;17228.78;15707.54;4001.27
7;whether qua;hmph soliloquy imagineer;1174;thoroughly;hovel redevelop;brr classic accelerator;14172;24444;6242.7;11599.22;13896;30042.61;8013.82
8;vainly;sinful scare;1083;yuppify apud;monthly a save;at;32026;1319;23286.65;17879.37;8260.44;26191.96;14082.67
9;straight circa meh;grandiose frenetically whose;8360;ride;yahoo;broadly;16497;366;30577.57;26336.43;839.39;7179.63;26258.26
10;that lest following;since;10629;runny above;daintily;brr epic;4585;14191;23569.23;384.45;25577.58;31299.6;18062.67
