id;cultivated_extend;start_date;end_date;yield;unit_id;created_at;added_by
1;4705.35;2025-05-02;2025-05-02;26842.15;whose;2025-05-01;oh
2;25622.61;2025-05-02;2025-05-02;16479.12;readmit;2025-05-02;so
3;21833.39;2025-05-02;2025-05-02;27714.66;whoever;2025-05-02;uncover intent
4;1514.75;2025-05-02;2025-05-02;24648.94;draft versus;2025-05-01;solidly
5;7821.48;2025-05-02;2025-05-02;10938.49;ruddy;2025-05-01;phooey pish
6;23570.97;2025-05-01;2025-05-02;24571;eggplant hoot analogy;2025-05-01;incline yet yet
7;30744.97;2025-05-02;2025-05-02;26735.81;puzzled anguished;2025-05-01;manage
8;10723;2025-05-02;2025-05-01;31904.21;thread careless including;2025-05-01;violin whoa
9;32603.06;2025-05-02;2025-05-02;19926.11;hmph catalog weatherize;2025-05-02;except
10;596.71;2025-05-02;2025-05-02;568.3;like aw;2025-05-01;meanwhile
