id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;pace crushing;which;16060;between eek;about spherical fragrant;questionably;11862;2230;449.41;11905.93;26798.45;8407.05;14886.12
2;why yippee individual;though mash mmm;13358;enfold;thyme scent;recede since;13226;25616;24982.72;15730.9;10426.47;27264.01;26097.57
3;mispronounce gee carelessly;lest citizen;3470;adventurously;ah than;huzzah tired excepting;32269;14298;25410.96;30865.85;15270.67;14966.48;9034.2
4;heavily telescope;gosh yet hollow;4546;where psst;against;male pish probate;5507;15865;15591.12;20352.58;26002.73;11845.54;22929.87
5;above;vivaciously;6836;chunter finally;waterspout information;until woot;19958;31635;11703.18;23752.29;32637.83;21637.37;2519.31
6;incidentally;mmm cricket;19001;drat;geez;thoroughly on climb;5407;21521;13959.15;25804.93;5012.14;15355.41;11995.7
7;from;slap nervously;28355;doting finally;spew;massage galvanize upon;27965;21239;20525.25;21178.96;25065.16;27412.39;16920.06
8;promise;thoughtfully modulo scheme;20702;woot softly sunbeam;abaft ick;scorn word mid;27415;14801;2060.76;17465.49;16435.88;7574.93;24000.5
9;whether;unnaturally;25617;inside;athwart;rosin sans;877;6742;7083.29;17892.07;5872.64;11441.74;30931.12
10;knowledgeably;across;19820;till unpleasant;when regal;boldly gee dissemble;26493;2995;23575;28511.87;20599.75;25989.63;30353.07
