id;land_status;urea;mop;tsp;created_at;added_by
1;afraid easily toward;31301.98;10858.06;23413.24;2025-05-02;boo thoughtfully
2;clear;27473.42;5555.29;4470.6;2025-05-02;word why misspend
3;between diver;32461.52;1481.06;4084.87;2025-05-02;portly
4;wealthy;19646.76;24239.83;22444.24;2025-05-02;off oof
5;as sizzling continually;23343.65;29170.26;3193.7;2025-05-02;but fooey
6;stealthily;10824.22;25815.6;11860.27;2025-05-02;despite
7;though past;13930.86;16693.16;7250.94;2025-05-01;backburn
8;usefully harvest;23588.88;11405.07;24470.35;2025-05-02;cautiously gah along
9;hoick unscramble;23883.52;17650.43;13255.14;2025-05-02;boohoo ocelot boo
10;kooky delightfully;22837.63;16350.32;15456.84;2025-05-01;epic mid pertain
