id;land_status;urea;mop;tsp;created_at;added_by
1;mispronounce of;3331.18;20837.66;30553.15;2025-05-02;puzzled
2;solidly scaly;31480.07;28115.88;30169.21;2025-05-02;shudder
3;sometimes inside likewise;13272.45;658.12;8409.97;2025-05-02;forceful
4;cautiously yuck powerfully;29.83;22091.55;15454.57;2025-05-02;except mmm
5;event charter;20788.29;27577.23;19488.96;2025-05-01;thorn
6;supposing cutlet pupil;9362.69;23385.36;29423.96;2025-05-02;along sharply
7;incidentally knavishly;18043.83;9709.53;19604.61;2025-05-01;furthermore
8;drat;732.98;29929.96;30273.3;2025-05-02;about
9;unnecessarily ethyl;7795.31;329.84;26980.2;2025-05-02;gosh
10;dimly enrich;6629.51;14813.97;26009.63;2025-05-02;unkempt perfectly more
