id;land_status;urea;mop;tsp;created_at;added_by
1;cardboard edible whose;26361.69;29624.87;10198.01;2025-05-10;but
2;object;17519.48;191.62;12858.25;2025-05-10;easily brr despite
3;misguided deployment righteously;14142.24;8859.72;23065.39;2025-05-09;woot versus boohoo
4;collectivization righteously;6237.58;520.04;30474.33;2025-05-09;yuck caption
5;costume incomplete bashfully;9615.26;22805.13;21167.44;2025-05-09;creature psst
6;finally aha;13743.14;15129.35;11653.98;2025-05-10;requite
7;meh including;1104.98;16055.78;13404.97;2025-05-10;but
8;gah fooey unlined;29080.31;17942.05;22294.9;2025-05-10;what
9;yahoo over;16673.76;1269.79;27370.64;2025-05-10;scratchy annually sonnet
10;pine mockingly;4961.51;11401.91;27390.72;2025-05-09;near exactly
