id;land_plot_name;land_registry_no;total_land_extent;calculated_area;province_id;district_id;ds_id;gn_id;center_lat;center_lng
1;egg generally maestro;pro;21889.7;29097.16;madly perfection;knowingly;modulo coagulate;these youthful;5146.69;6337.28
2;consistency;mismatch ham;2170.77;20703.07;lest;next boo consequently;what heartache surface;shameless accelerator wafer;20692.5;21753.29
3;squiggly er;mid;4639.32;2600.16;if till insidious;although fraudster carp;shocked dull worth;proud now;358.57;9800.05
4;concrete key;huzzah as;30789.9;3681.4;out how gah;yowza;yahoo;if beside;3880.95;400.08
5;impish;volunteer;10168.41;1791.88;energetic questionably;cavernous;graffiti before;clueless;7938.04;2059.08
6;whereas jaggedly queasy;wilt impeccable atop;8744.85;19883.97;solidly;playfully some;stiff blah;ouch;14516.03;3758.7
7;oily trusting;including;14416.08;17657.95;beyond pish;phew;SUV captain;however woot tattered;13221.07;459.29
8;towards regulate neatly;obnoxiously;30175.37;31086.87;underneath gah limply;for hmph why;sandbar fund;inferior filter every;7490.96;3616.57
9;howl aw broadcast;woefully;9614.03;11563.1;successfully meanwhile absentmindedly;daddy;blossom;exhausted striking worriedly;27692.6;3493.41
10;whoa than bench;disloyal log augment;29413.23;49.41;mantua;though reproach elliptical;what unto colonialism;if;17796.8;24278.08
