id;land_status;urea;mop;tsp;created_at;added_by
1;yahoo;21322.02;29626.37;11568.09;2025-05-04;gently against
2;rebound brr psst;11185.77;30710.42;37.12;2025-05-04;institutionalize
3;raw by happily;8271;26563.07;19125.56;2025-05-05;although restructure
4;wherever;26118.77;4379.42;14929.81;2025-05-04;cannon whoa meh
5;unless joyfully categorise;28879.81;22395.61;26384.5;2025-05-05;innovate
6;meanwhile blindly duh;23021.48;4131.94;17680.61;2025-05-04;till farmer upbeat
7;delightfully lest yahoo;3312.18;17722.68;9883.88;2025-05-05;minion essential intent
8;hungrily tensely;14974.92;5034.22;9114.58;2025-05-04;before transplant yippee
9;yowza altruistic;26001.34;15954.52;21909.06;2025-05-05;insert convection
10;times nearly;19773.82;15658.27;30765.4;2025-05-05;scramble fooey
