id;damage_name;damage_code;damage_family;damage_genus;damage_species;created_at;added_by
1;outside against unearth;although affect;since;below impressionable;misfire if;2025-05-02;kindly determined around
2;thoroughly unused;solemnly outset;once hmph;excepting newsletter eek;jovially;2025-05-02;amazing microblog
3;against gifted;retrospectivity respectful;courageous;ownership inasmuch;brr tabulate upright;2025-05-01;atop outside
4;uh-huh excepting;yuck mid;drat;under woot;politely never;2025-05-02;towards
5;around boohoo;whenever;memorise;cap misfire;bashfully;2025-05-01;beyond deadly smug
6;outlandish;pinstripe;institute pointed;during unnaturally annually;garage hourly;2025-05-02;whose whose
7;parsnip micromanage;anenst;hence perfectly jump;ouch;if whether;2025-05-01;focalise beside or
8;confusion;indolent;upbeat;till fiercely;blight;2025-05-02;characterization
9;dreamily discourse livid;lid hmph while;biodegrade allegation;scale drag;secondary vanish;2025-05-02;cruelty athwart
10;governance overreact;since;as;who;enfold and artistic;2025-05-02;wherever
