id;damage_name;damage_code;damage_family;damage_genus;damage_species;created_at;added_by
1;persecute comparison split;crazy;hmph bitterly;bend instructor unless;whoever pleasure weighty;2025-05-08;than
2;blah;sleepily;supplier triumphantly phooey;wobbly;regarding aw;2025-05-09;ack frizz train
3;over powerfully react;dead;swat hunt since;where deform lest;paintwork;2025-05-09;ashamed while
4;trolley institutionalize wherever;frizz skeleton however;helpful;tremendously equally maestro;worriedly stoop geez;2025-05-09;gosh elevator
5;unit;emulsify gad;anaesthetise zebra;ouch snuggle;likewise whose;2025-05-09;happy
6;whoever;who rotating optimal;joyfully;republican;fatally nor;2025-05-08;drat since
7;cork obstruct of;pish;upbeat wound fold;psst;newsletter;2025-05-08;sans shabby
8;pocket-watch bowling instead;behind coliseum;enthusiastically celsius phew;forenenst lest fervently;retention;2025-05-09;demob ugh
9;boohoo;fooey unless unless;hm yowza;ridge;humble adventurously following;2025-05-08;since
10;decode guilty oof;mobility until;eek;judgementally;abaft and;2025-05-09;headline
