id;damage_name;damage_code;damage_family;damage_genus;damage_species;created_at;added_by
1;inside;smoothly noted now;avaricious;powerfully couch hmph;between ouch milky;2025-05-08;hidden
2;given meh till;yuck;utterly;gosh kit inasmuch;velocity;2025-05-09;unimpressively meh
3;underpants maintainer uselessly;than welcome;redress;pish that dissemble;without usually;2025-05-09;though
4;rotten towards which;psst noisily republican;early secrecy;contradict;fooey;2025-05-08;however since
5;opposite midst zowie;past archive clamor;sticky;mobilize;duh deeply seemingly;2025-05-09;why the
6;whenever cake;who quaintly including;rightfully tiny;scratchy circa under;hence;2025-05-09;all
7;teriyaki;up milestone that;bonnet;wisely notwithstanding over;whose;2025-05-09;till phew
8;extremely;plan;though;er athletic;sleepy upon;2025-05-09;until shipper
9;investigate consequently;greatly ferociously;sniveling;whup;among arrogantly;2025-05-08;amid bid yippee
10;for tough;hollow sailor boohoo;aw;but birth;wire once edible;2025-05-09;gadzooks
