id;land_plot_name;land_registry_no;total_land_extent;calculated_area;province_id;district_id;ds_id;gn_id;center_lat;center_lng
1;instead vet;celebrated;13183.31;11020;milky straw;finally;conceal sharply next;defiantly;23436.5;20733.78
2;incomparable;till so;16588.06;30449.78;in best valiantly;finally;sternly;sate;29338.32;17890.15
3;smog toady intensely;times even inasmuch;18962.78;6624.51;psst;reassuringly;doubtfully;ultimately nervously;8817.53;29352.14
4;upliftingly frantically;prance huzzah;6904.82;21230.54;welcome plus at;notwithstanding handover zowie;bravely;jazz;15420.84;9501.54
5;ugh;mummify;23826.18;14689.04;although yieldingly till;glow;than seldom;profane;7399.95;8493.95
6;malfunction equally;lifestyle;29517.53;25462.27;calmly;out;thankfully optimal huzzah;taro;20109.42;28836.46
7;dearly anti suffice;mask whereas;20378.19;4516.94;meatloaf schlep;minion enhance;understanding depart rectangular;since scholarship;28717.27;10102.39
8;uh-huh bide hm;atop;13301.94;13183.2;descendant;upside-down the promptly;excited viciously;amend ick nor;22565.21;26766.69
9;gadzooks;yuck commonly accredit;13294.87;32158.65;scented;although till flat;because;cappelletti;800.65;28228.75
10;annually tenant fraternise;until qua more;26613.08;13718.52;ick;lawmaker until;pish sun;duh eulogise positively;29625.76;14117.71
