id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;alongside brr haze;swanling gosh;18408;amidst;propound tackle;velocity;24942;18621;15522.83;5777.58;9715.18;29048.97;16340.44
2;boohoo;singing admonish;30103;stark because;till bah glass;whoa honored allocation;19115;7409;17758.67;31025.27;28822.91;25727.23;632.86
3;inwardly satisfy um;fort;22421;for;belabor;woot;18089;5134;17521.77;13207.69;23043.79;2856.11;179.91
4;painfully terraform angrily;er;11654;psst so record;oh;above finer now;25935;3017;9260.61;31662.36;6433.89;23528.83;10658.94
5;longingly gladly;phrase clueless;18221;phew darling;upside-down unit;by whine;6013;23893;31984.32;16200.48;25732.37;6557.77;5052.13
6;unfortunate enthusiastically;inspect;24062;viciously since;optimistic vivid;tattered;3673;19403;22106.83;16397.2;31845.73;27559.78;12640.38
7;emerge;help;4113;resolve frantically;because delight but;calmly glow;6532;31822;30879.74;8061.21;23185.21;17698.71;29879.73
8;fisherman;patroller;9822;ornate unusual;instead after;phew phew;3311;24867;28016.57;9540.71;4038.25;26608.85;24968.25
9;ick gah outside;beyond shush;15719;impeccable;persecute colorful tabletop;indeed because aha;12835;31459;26592.26;9785.43;12886.84;25325.03;23102.94
10;behind every unlike;kindly;3094;sleepily greatly until;if rough;times provided;1097;15438;27150.56;19018.16;26411.31;18514.01;2529.95
