id;index_payout_event_id;asc_id;confirmed_by;cultivated_extent;payout;confirmed_date;rejected_by;rejected_date;reason;final_payout;index_payout_event_status;is_approved;monitoring_range;is_insurance;insurance_cultivated_land;index_cheque_id;index_product_id
1;28378;14823;6035;14635.01;4309.09;than;22372;the;slushy scoop;18982.13;26314;2181;29812.97;4747;28469;9224;1778
2;26212;16263;25911;16358.07;19399.86;difficult wisely gladly;24219;oh yowza;phooey;2657.88;1386;7966;16449.83;19734;30549;617;4124
3;20812;13342;11797;9980.93;26360.4;at;10129;hence er overstay;knowingly;21082.81;26656;9806;23719.36;10255;13801;31266;15050
4;3258;2352;12229;31570.58;20868.33;thorn shampoo pink;1711;versus;interior guilty queasily;14640.32;30081;14261;2618.91;1298;30162;25385;20290
5;26973;6718;8458;31154.73;16670.03;those;17848;wallop till merry;slink upon;17328.45;27272;20595;10131.9;22637;178;32749;24651
6;19433;12935;1228;25503.74;8874.09;stealthily punctually around;27235;oval;nor skyscraper;29406.8;25485;17631;9877.39;5421;30513;26671;10471
7;715;32395;4435;30560.31;3454.84;sour;380;mechanic gah;reassuringly;29301.74;11111;8004;16355.1;20850;594;26415;6307
8;6184;22368;23845;16824.93;369.87;kindly instead;16838;vista;gadzooks apropos mmm;11170.36;22918;15211;29087.75;1178;16944;18700;2435
9;22095;31954;27555;8367.64;5994.52;instead ew;11283;mmm;informal drag;15763.59;32089;22343;30994.48;5841;12324;26295;3231
10;21624;9005;29781;1909.96;10131.56;versus knowledgeably whether;27395;whimsical;once yellowish ah;7320.53;1017;21355;16773.72;21692;27380;32630;27066
