id;land_status;urea;mop;tsp;created_at;added_by
1;disadvantage pish;18384.07;234.8;28116.76;2025-05-03;hungrily misfire huzzah
2;bakeware;28626.6;11039.76;26611.79;2025-05-03;ew supplier quaver
3;toady simple;18767.55;19914.54;30548.69;2025-05-04;during absentmindedly underneath
4;quart;20525.75;25798.96;10817.38;2025-05-04;incidentally fine
5;aha;5076.64;2394.57;12270.45;2025-05-03;reborn whoever unless
6;thoroughly formula;9798.49;1906.34;25921.02;2025-05-04;solicit plus
7;coaxingly;7518.97;32638.83;9718.98;2025-05-04;drat
8;ick limp;22432.06;2991.27;31747.4;2025-05-04;helpfully creator
9;role beautifully when;8200.11;32097.08;19631.28;2025-05-03;forenenst finally league
10;an;20493.82;16318.01;9768.26;2025-05-04;yearly wherever huzzah
