id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;however;for deduct rarely;709;within;coop following;although nervously yowza;1065;5946;22066.81;5946.81;31882.88;12279.25;14657.15
2;perfectly;entice;12773;needy row;steep whenever;hovel;15991;23939;6822.33;15793.11;11524.33;19587.03;9814.48
3;as;rudely finally gee;18643;why murky;jump lovable;soulful;12900;28141;25960.15;4130.94;10074.35;28258.98;998.21
4;though accidentally;kookily behind quietly;14514;geez mmm;an amazing;transcend overproduce;31245;22325;7985.36;4528.31;23644.55;8710.13;24013.97
5;phew tail trust;clean;13313;or unlike greedily;blind;shadowy finally;32592;4910;19453.38;19157.51;20563.5;23396.42;6478.38
6;so hence as;without regularly;28262;loosely or;cultivated ouch;developing if;7798;14019;7643.02;17167.68;21993.95;25700.48;22934.84
7;duh indeed blah;drat glass;17466;fair eek pish;because boastfully preheat;where um whenever;24075;1500;6928.12;31461.93;14995.84;1330.97;22434.24
8;jet towards;round whose;13772;superficial ha yahoo;productive majestically brr;scout;24553;4281;15259.21;10193.09;15448.82;19592.08;27035.87
9;forenenst;ew;175;galvanize humble indeed;swiftly enrich greatly;retool coliseum grown;25816;4316;8551.23;865.58;19372.3;27578.99;10956.52
10;polished;blah noisily;21084;cavernous though;reward nor whenever;eyeliner minus;1727;12121;17413.35;7008.49;28821.86;4023.06;14669.33
