id;name;no_of_stages;image;description;added_by;created_at
1;optimistic among;20944;which decriminalize;hmph kookily immediately;29515;2025-05-05
2;ha;2090;fairly;joshingly;24436;2025-05-04
3;sadly;28190;our;watery grubby;15753;2025-05-04
4;dark pfft;2912;while labourer;painfully;3477;2025-05-04
5;because huzzah nasalise;19612;incidentally so;meh yellowish fisherman;15454;2025-05-05
6;excepting pale yum;3046;astonishing;furthermore now;22204;2025-05-05
7;since kindly;3543;jot loftily who;cruelly of;13356;2025-05-04
8;mentor above collectivization;30223;triumphantly er among;which unimpressively;3239;2025-05-04
9;lively dimly;7083;briskly gray forsaken;acceptable zowie outflank;8164;2025-05-04
10;solemnly boohoo by;20849;truly;hot;21189;2025-05-04
