id;name;code;latitude;longitude;gn_id;district_id;province_id;ds_id;added_by;created_at
1;colossal trick inasmuch;mysteriously noteworthy into;10062.28;18205.64;22832;2271;32590;17631;17553;2025-05-04
2;which instead;triumphantly nasalise furthermore;1670.43;10174.71;6367;20170;11197;2417;9237;2025-05-04
3;orchid quick boohoo;until;4163.63;12519.59;29494;23784;401;21823;953;2025-05-05
4;regarding splendid;helpfully;115.72;243.52;5805;10329;28783;22827;14299;2025-05-04
5;pro pfft;however exotic apropos;24560.82;12183.75;15059;12907;2612;21806;30089;2025-05-04
6;athwart;out;27542.07;19753.54;19540;7909;24925;15027;2146;2025-05-04
7;unlined whereas;till petticoat;13901.22;13285.51;10338;5928;39;21669;23190;2025-05-05
8;abnormally and;obedience forgather wash;12443.76;20607.05;10865;29384;18628;9124;4580;2025-05-04
9;linear powerless;hence;29315.59;30144.59;16324;22112;21055;29268;9989;2025-05-04
10;disk upbeat overcharge;babyish behind;6878.12;29515.29;20431;13487;20925;12717;9135;2025-05-04
