id;policy_id;yield;created_at;added_by
1;notwithstanding;6947.45;2025-05-02;larva well-worn
2;jet bliss victoriously;20101.05;2025-05-01;mysteriously over
3;sheathe the ultimately;32554.86;2025-05-02;unless
4;huzzah as;30572.03;2025-05-02;and authentic
5;under finally muted;20887.06;2025-05-01;enormously tennis abnormally
6;given bah;6780.04;2025-05-02;likewise
7;cellar aside;18936.14;2025-05-02;impish inasmuch
8;airman willow;4845.89;2025-05-01;abscond
9;collaboration famously abscond;4904.12;2025-05-01;commonly coin instead
10;besides;25699.7;2025-05-02;because maroon before
