id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;mmm how;please;15505;blushing shrill;entry potentially;lest gosh whoever;3950;23998;28691.6;32131.79;29808.66;24594.08;12375.73
2;sedately;brr round circumference;4733;unnaturally;wilted pixellate;deduce puritan;10843;24271;6838;7946.18;16229.61;16429.39;22138.53
3;but;supposing sarong trash;8394;reconstitute;usher;large or miserly;22084;18305;10906.07;26856.8;10919.8;4148.94;30136.71
4;joyfully rejoin whereas;pfft;28657;requite until;broadcast;delectable excepting yippee;9136;10747;4827.08;2063.76;29803.34;7108.42;27602.15
5;rubric plus per;around adult repeatedly;21801;what versus;lava drat;over powerless all;81;7013;1822.55;28824.61;10637.1;14752.81;2074.03
6;ack;yummy connect with;24843;unbearably premium;gadzooks uh-huh outside;when;16503;14570;25340.71;25342.57;17165.91;8407.81;3109.52
7;absent;ick;14740;geez;colorful glass;availability;20347;28569;20845.12;28794.14;8816.45;22399.53;1795.41
8;though or;so well-worn;29551;vacantly inwardly ouch;procurement agile season;netsuke husk;19683;7208;7326.3;3108.37;3444;1364.64;26390.2
9;whereas;accredit tank;5454;after;parody;beside atop;24231;6064;7569.32;28988.44;32558.72;31374.36;29909.96
10;rapidly editor meanwhile;after;26542;large concerning incandescence;whose drat like;goodwill;15321;14765;17349.59;12779.3;26542.42;7062.41;19245.78
