id;crop_duration_id;insurance_police_id;sum_insured_per_acre;insurance_extent;sum_amount;insurance_status;created_at;added_by
1;including busily;down;16857;25258;2659;supposing;2025-05-02;hyphenation comestible although
2;blah er confirm;creator heavily;9048;31154;24612;institute;2025-05-02;extremely barring
3;incidentally;off;14219;10765;7852;irresponsible;2025-05-02;anti
4;supposing oh;excepting unlike;15417;22740;17922;um steel;2025-05-02;boohoo than
5;er;till;15448;20637;10436;crumble;2025-05-02;imaginative
6;when boo storyboard;impartial mmm vary;18764;1794;18396;rigidly yet;2025-05-01;near deform
7;agreement;across efface helplessly;979;15013;9859;concerning;2025-05-02;via bah anti
8;what scarper;sarcastic drat exalted;29846;8610;7716;ick nor quicker;2025-05-02;transplant pfft
9;what toady fess;which;7003;29711;32518;past couch;2025-05-02;duh intelligent commonly
10;lava forgery;ha;12479;4537;2058;consequently keel eek;2025-05-01;meh though er
