id;converage_amount;is_select;created_at;added_by
1;3624.41;false;2025-05-03T11:26:18;reprimand dusk cleverly
2;1573.48;false;2025-05-03T08:54:30;boohoo gnash
3;23940.91;true;2025-05-04T00:53:13;slowly
4;17920.72;true;2025-05-03T12:40:10;glorious yowza
5;12509.3;true;2025-05-03T21:14:54;pile inure
6;15146.44;true;2025-05-03T17:08:28;provided
7;6007.5;true;2025-05-03T17:54:02;whether
8;16276.17;true;2025-05-04T03:45:46;vice sparkling
9;29728.31;true;2025-05-03T19:17:43;whenever
10;7462.84;true;2025-05-03T12:23:34;to yahoo forenenst
