id;crop_duration_id;insurance_police_id;sum_insured_per_acre;insurance_extent;sum_amount;insurance_status;created_at;added_by
1;role programme;overvalue eventually upliftingly;22383;1849;12210;instead;2025-05-04;although
2;since corporation eulogise;yogurt consequently barring;17743;25128;18208;outlying solution event;2025-05-03;sneaky motionless noteworthy
3;apropos;ouch celebrated however;28196;777;17022;furthermore;2025-05-04;kiddingly aha queasy
4;why near now;blowgun;17364;1584;22281;yum zowie;2025-05-04;couch elliptical terribly
5;eek settle;circa jazz;7013;19587;10319;supposing yowza;2025-05-03;ha now implode
6;surge;between;1645;4977;20992;for milestone odd;2025-05-04;abnormally
7;to;gosh within so;28151;2196;5685;phew headline;2025-05-04;poetry yawningly
8;since brisk;blah via;14145;14780;16490;gadzooks until till;2025-05-04;inasmuch
9;since fund snow;lid gift;27168;11443;20158;oval;2025-05-03;optimistic submitter wire
10;reproachfully;ambitious naturally;24879;22469;5324;unwritten;2025-05-03;vibraphone intellect
