id;crop;image;main_crop;crop_code;no_of_stages;description;crop_types_id;units_id;area;sum_insured;min_sum_insured;max_sum_insured;subsidised_premium_rate
1;stable;fashion blah tinted;28774;wherever lend;forenenst supposing;cutlet archive;11310;32548;23345.7;19790.12;5091.24;30967.67;25542.89
2;among;however expense gah;10182;gee;regarding;upon;18726;15880;2380.89;10810.17;8631.33;23079.66;29442.94
3;athwart instead instead;raw as out;30658;uselessly;furlough as if;tighten;13260;4177;11100.5;25592.92;21586.3;5198.96;1724.76
4;dreary hole;cinch;8775;preheat;finally faithfully yum;sorrowful alliance;4518;24274;26173.27;1635.55;416.36;5221.55;27325.43
5;past for halt;as;12487;over that an;hope if attraction;ah although sans;20248;12939;26860.62;19657.76;20611.76;19293.36;15433.06
6;clone;duh knowingly;1364;since;stake;barring whoever;22112;30907;13501.38;24080.71;23289.07;18920.51;12228.75
7;ugh polarisation;yesterday drowse pear;4816;a;shark quirkily pointed;penalise sweetly;26720;23484;12586.05;32364.09;20434.61;22717.68;9004.6
8;times bad confound;casement hm;7445;tag dim riser;ha;vision discourse transparency;16500;8992;31863.87;32202.8;19749.81;4372.15;32685.85
9;psst for;bump serene;8650;publicity grounded flight;tentacle yippee;scoop hmph digitize;10102;12721;14250.78;10232.97;28849.7;18204.77;19119.61
10;upbeat anenst;instantly pfft underneath;25500;curiously;boohoo;fearless yet sequester;8333;17046;22346.17;21394.24;10808.92;16503.5;20853.13
