id;land_status;urea;mop;tsp;created_at;added_by
1;clinch brr;8822.61;4027.29;12738.08;2025-05-05;unknown worth mostly
2;incidentally unto almost;3921.25;30985.52;18665.37;2025-05-04;since
3;dilate throughout;3588.47;16364.26;24432.57;2025-05-04;midst
4;astride;1600.86;23303;17275.58;2025-05-05;beyond
5;while via;30371.77;19556.42;13521.28;2025-05-04;afore scuffle alert
6;not unique yak;30971.33;25780.75;27145.54;2025-05-05;embody
7;quizzically loftily excitable;12217.57;9976.68;2954.08;2025-05-05;obnoxiously successfully
8;joshingly tightly pish;29942.19;28885.57;22998.32;2025-05-04;playfully phooey starch
9;nor to instruction;19138.18;20643.12;16397.27;2025-05-05;during toward inside
10;um in for;18921.13;6797.11;30384.73;2025-05-04;irritably except explode
